,body,head_wear,accessories,tail,teeth
109,Orange_body,Spinner_hat,Earring,Dragon_Tail,none
110,Orange_body,none,none,Fanned_Tail,Shark_Teeth
111,Blue_body,Backwards_hat,none,Heart_Tail,Shark_Teeth
112,Trippy_body,Beanie,none,Curved_Tail,none
113,Red_body,none,Cigar,Pointy_Tail,Shark_Teeth
114,Yellow_body,none,none,Dragon_Tail,none
115,Green_body,none,none,Propeller_Tail,none
116,Green_body,Backwards_hat,Balloon,Pointy_Tail,Human_Teeth
117,Red_body,Backwards_hat,none,Pointy_Tail,Buck_Tooth
118,Red_body,Beanie,Cigar,Pointy_Tail,Shark_Teeth
119,Red_body,none,Earring,Dragon_Tail,Buck_Tooth
120,Scaled_ body,Spinner_hat,Moustache,Heart_Tail,none
121,Blue_body,none,Balloon,Flower_tail,Human_Teeth
122,Green_body,none,none,Heart_Tail,Human_Teeth
123,Blue_body,Backwards_hat,Balloon,Curved_Tail,none
124,Robot_body,Fin,none,Flower_tail,Gold_grill
125,Yellow_body,Beanie,none,Fanned_Tail,Human_Teeth
126,Trippy_body,Top_hat,Wings,Pointy_Tail,none
127,Blue_body,Backwards_hat,Goggles,Pointy_Tail,Buck_Tooth
128,Blue_body,Backwards_hat,Little_fish,Fanned_Tail,none
129,Scaled_ body,Umbrella_hat,none,Pointy_Tail,Buck_Tooth
130,Green_body,Fin,none,Dragon_Tail,Shark_Teeth
131,Blue_body,Beanie,Goggles,Heart_Tail,Shark_Teeth
132,Blue_body,Umbrella_hat,Wings,Curved_Tail,Human_Teeth
133,Red_body,Fin,none,Heart_Tail,Shark_Teeth
134,Blue_body,Horns,none,Jet_Tail,Buck_Tooth
135,Red_body,Backwards_hat,none,Pointy_Tail,none
136,Blue_body,Top_hat,none,Jet_Tail,Human_Teeth
137,Rainbow_body,none,none,Heart_Tail,Human_Teeth
138,Green_body,Spinner_hat,Balloon,Fanned_Tail,Human_Teeth
139,Trippy_body,Backwards_hat,none,Fanned_Tail,Shark_Teeth
140,Green_body,none,none,Heart_Tail,Shark_Teeth
141,Yellow_body,none,Goggles,Fanned_Tail,Buck_Tooth
142,Orange_body,Spinner_hat,Cigar,Heart_Tail,Braces
143,Orange_body,Umbrella_hat,Earring,Pointy_Tail,Shark_Teeth
144,Green_body,Fin,Earring,Curved_Tail,Shark_Teeth
145,Yellow_body,Horns,Balloon,Curved_Tail,Shark_Teeth
146,Orange_body,none,Balloon,Pointy_Tail,none
147,Red_body,Backwards_hat,none,Flower_tail,Buck_Tooth
148,Orange_body,Backwards_hat,Goggles,Curved_Tail,none
149,Orange_body,none,Goggles,Curved_Tail,Braces
150,Green_body,Afro,Earring,Propeller_Tail,Human_Teeth
151,Yellow_body,Horns,none,Heart_Tail,none
152,Red_body,Umbrella_hat,Balloon,Heart_Tail,Buck_Tooth
153,Green_body,Backwards_hat,none,Fanned_Tail,none
154,Red_body,Beanie,Cigar,Fanned_Tail,Buck_Tooth
155,Red_body,Beanie,none,Heart_Tail,none
156,Trippy_body,Beanie,Moustache,Curved_Tail,Braces
157,Black_body,Backwards_hat,Earring,Heart_Tail,Human_Teeth
158,Rainbow_body,Fin,none,Heart_Tail,Braces
159,Red_body,Backwards_hat,none,Curved_Tail,Human_Teeth
160,Green_body,Afro,Cigar,Heart_Tail,Shark_Teeth
161,Red_body,Beanie,Wings,Pointy_Tail,Buck_Tooth
162,Robot_body,Beanie,none,Pointy_Tail,Buck_Tooth
163,Robot_body,none,none,Flower_tail,Braces
164,Yellow_body,none,Moustache,Heart_Tail,none
165,Orange_body,Umbrella_hat,none,Dragon_Tail,Gold_grill
166,Red_body,none,none,Flower_tail,Shark_Teeth
167,Rainbow_body,none,Cigar,Fanned_Tail,Buck_Tooth
168,Rainbow_body,none,none,Curved_Tail,Braces
169,Blue_body,none,Wings,Heart_Tail,Shark_Teeth
170,Orange_body,Afro,Wings,Curved_Tail,none
171,Green_body,Backwards_hat,none,Pointy_Tail,Buck_Tooth
172,Yellow_body,none,none,Dragon_Tail,Shark_Teeth
173,Yellow_body,Horns,none,Propeller_Tail,Buck_Tooth
174,Orange_body,Horns,Balloon,Pointy_Tail,Shark_Teeth
175,Blue_body,none,Moustache,Heart_Tail,Braces
176,Green_body,none,Goggles,Propeller_Tail,Buck_Tooth
177,Blue_body,none,Goggles,Pointy_Tail,Buck_Tooth
178,Black_body,none,Earring,Pointy_Tail,Shark_Teeth
179,Green_body,Afro,Earring,Flower_tail,Shark_Teeth
180,Scaled_ body,none,Balloon,Flower_tail,Buck_Tooth
181,Yellow_body,Backwards_hat,none,Pointy_Tail,Buck_Tooth
182,Trippy_body,Backwards_hat,Goggles,Heart_Tail,none
183,Yellow_body,Beanie,Earring,Fanned_Tail,Buck_Tooth
184,Scaled_ body,Top_hat,Goggles,Flower_tail,Buck_Tooth
185,Red_body,Beanie,none,Flower_tail,Human_Teeth
186,Scaled_ body,Afro,Moustache,Pointy_Tail,none
187,Scaled_ body,none,none,Fanned_Tail,Buck_Tooth
188,Red_body,none,Wings,Flower_tail,none
189,Blue_body,Backwards_hat,Moustache,Fanned_Tail,Buck_Tooth
190,Green_body,Backwards_hat,Goggles,Pointy_Tail,Buck_Tooth
191,Yellow_body,Backwards_hat,Earring,Flower_tail,none
192,Red_body,none,none,Fanned_Tail,Buck_Tooth
193,Red_body,Backwards_hat,Balloon,Heart_Tail,none
194,Green_body,Spinner_hat,none,Dragon_Tail,Human_Teeth
195,Red_body,Spinner_hat,none,Curved_Tail,Buck_Tooth
196,Gold_body,Beanie,Earring,Heart_Tail,Buck_Tooth
197,Blue_body,Beanie,Moustache,Pointy_Tail,Human_Teeth
198,Trippy_body,Backwards_hat,none,Pointy_Tail,Buck_Tooth
199,Orange_body,Spinner_hat,Moustache,Pointy_Tail,Shark_Teeth
200,Yellow_body,Horns,Earring,Propeller_Tail,none
201,Trippy_body,Backwards_hat,Balloon,Fanned_Tail,Buck_Tooth
202,Alien_body,Beanie,Goggles,Fanned_Tail,none
203,Green_body,Spinner_hat,Cigar,Pointy_Tail,Human_Teeth
204,Blue_body,Beanie,Cigar,Fanned_Tail,none
205,Blue_body,Backwards_hat,none,Dragon_Tail,none
206,Blue_body,Beanie,none,Jet_Tail,Buck_Tooth
207,Yellow_body,none,none,Propeller_Tail,Buck_Tooth
208,Red_body,Afro,Earring,Curved_Tail,none
209,Green_body,Backwards_hat,none,Flower_tail,Human_Teeth
210,Orange_body,Horns,none,Flower_tail,Shark_Teeth
211,Orange_body,none,none,Pointy_Tail,Human_Teeth
212,Blue_body,Beanie,Cigar,Heart_Tail,Braces
213,Trippy_body,none,none,Dragon_Tail,none
214,Blue_body,Backwards_hat,Little_fish,Fanned_Tail,Buck_Tooth
215,Blue_body,Backwards_hat,none,Pointy_Tail,none
216,Green_body,Umbrella_hat,Earring,Fanned_Tail,Buck_Tooth
217,Green_body,Top_hat,none,Pointy_Tail,Buck_Tooth
218,Blue_body,Spinner_hat,none,Pointy_Tail,Shark_Teeth
219,Blue_body,Spinner_hat,none,Flower_tail,Human_Teeth
220,Red_body,none,Cigar,Flower_tail,none
221,Scaled_ body,Umbrella_hat,none,Pointy_Tail,none
222,Blue_body,none,none,Heart_Tail,Buck_Tooth
223,Orange_body,Backwards_hat,Goggles,Curved_Tail,Gold_grill
224,Yellow_body,Spinner_hat,Balloon,Flower_tail,Buck_Tooth
225,Rainbow_body,none,Cigar,Curved_Tail,Human_Teeth
226,Red_body,none,Earring,Flower_tail,Braces
227,Orange_body,Afro,none,Heart_Tail,none
228,Green_body,Beanie,Earring,Pointy_Tail,Human_Teeth
229,Scaled_ body,none,Cigar,Curved_Tail,Shark_Teeth
230,Scaled_ body,Umbrella_hat,Earring,Fanned_Tail,none
231,Blue_body,none,none,Fanned_Tail,Buck_Tooth
232,Red_body,Umbrella_hat,Earring,Dragon_Tail,Gold_grill
233,Scaled_ body,none,none,Fanned_Tail,none
234,Yellow_body,Backwards_hat,Goggles,Fanned_Tail,Shark_Teeth
235,Rainbow_body,Backwards_hat,Little_fish,Propeller_Tail,none
236,Yellow_body,Spinner_hat,none,Fanned_Tail,Human_Teeth
237,Gold_body,none,Wings,Pointy_Tail,none
238,Orange_body,none,none,Flower_tail,Human_Teeth
239,Blue_body,none,none,Fanned_Tail,Shark_Teeth
240,Red_body,Umbrella_hat,Moustache,Pointy_Tail,Human_Teeth
241,Blue_body,Backwards_hat,none,Fanned_Tail,Shark_Teeth
242,Green_body,Horns,Moustache,Curved_Tail,none
243,Red_body,none,none,Curved_Tail,Buck_Tooth
244,Blue_body,Top_hat,none,Pointy_Tail,Shark_Teeth
245,Yellow_body,Fin,none,Curved_Tail,Human_Teeth
246,Orange_body,Beanie,none,Pointy_Tail,Buck_Tooth
247,Orange_body,none,none,Heart_Tail,none
248,Rainbow_body,none,none,Curved_Tail,none
249,Yellow_body,none,Goggles,Curved_Tail,Buck_Tooth
250,Blue_body,Beanie,none,Fanned_Tail,none
251,Trippy_body,Beanie,none,Pointy_Tail,Shark_Teeth
252,Orange_body,none,none,Curved_Tail,Buck_Tooth
253,Red_body,Horns,none,Jet_Tail,none
254,Yellow_body,Backwards_hat,none,Heart_Tail,Buck_Tooth
255,Orange_body,Umbrella_hat,Little_fish,Pointy_Tail,none
256,Yellow_body,none,Goggles,Pointy_Tail,Buck_Tooth
257,Alien_body,Beanie,none,Curved_Tail,none
258,Red_body,Backwards_hat,Balloon,Propeller_Tail,Buck_Tooth
259,Trippy_body,Fin,Balloon,Curved_Tail,none
260,Blue_body,none,none,Jet_Tail,Human_Teeth
261,Alien_body,Backwards_hat,none,Fanned_Tail,Braces
262,Red_body,Afro,none,Propeller_Tail,none
263,Rainbow_body,Horns,Moustache,Heart_Tail,Shark_Teeth
264,Green_body,none,none,Dragon_Tail,Gold_grill
265,Red_body,Spinner_hat,Earring,Fanned_Tail,Buck_Tooth
266,Green_body,Beanie,none,Jet_Tail,none
267,Yellow_body,none,Moustache,Pointy_Tail,Human_Teeth
268,Blue_body,Afro,Wings,Pointy_Tail,Buck_Tooth
269,Scaled_ body,Backwards_hat,Little_fish,Pointy_Tail,Gold_grill
270,Yellow_body,Afro,none,Jet_Tail,Buck_Tooth
271,Blue_body,Fin,Wings,Heart_Tail,Buck_Tooth
272,Red_body,Spinner_hat,none,Curved_Tail,Shark_Teeth
273,Red_body,none,none,Curved_Tail,none
274,Blue_body,none,Balloon,Pointy_Tail,Buck_Tooth
275,Red_body,Afro,none,Curved_Tail,Shark_Teeth
276,Scaled_ body,none,Earring,Fanned_Tail,Shark_Teeth
277,Green_body,Backwards_hat,Goggles,Flower_tail,Shark_Teeth
278,Scaled_ body,Backwards_hat,none,Curved_Tail,none
279,Black_body,Spinner_hat,none,Fanned_Tail,Buck_Tooth
280,Scaled_ body,none,none,Propeller_Tail,none
281,Yellow_body,Beanie,none,Fanned_Tail,Buck_Tooth
282,Yellow_body,none,none,Fanned_Tail,Buck_Tooth
283,Blue_body,Backwards_hat,Earring,Propeller_Tail,Shark_Teeth
284,Red_body,Spinner_hat,Moustache,Pointy_Tail,Buck_Tooth
285,Yellow_body,Umbrella_hat,none,Flower_tail,Buck_Tooth
286,Orange_body,Horns,none,Dragon_Tail,none
287,Orange_body,Beanie,Balloon,Curved_Tail,Buck_Tooth
288,Blue_body,Backwards_hat,none,Jet_Tail,none
289,Yellow_body,none,Cigar,Curved_Tail,Shark_Teeth
290,Yellow_body,Umbrella_hat,Moustache,Fanned_Tail,Braces
291,Blue_body,Beanie,Wings,Flower_tail,Buck_Tooth
292,Blue_body,Backwards_hat,Earring,Propeller_Tail,none
293,Green_body,Top_hat,Wings,Jet_Tail,Gold_grill
294,Black_body,Afro,Balloon,Pointy_Tail,Braces
295,Robot_body,Umbrella_hat,none,Dragon_Tail,Braces
296,Black_body,none,Balloon,Pointy_Tail,Buck_Tooth
297,Yellow_body,Afro,Wings,Fanned_Tail,Human_Teeth
298,Blue_body,Backwards_hat,Balloon,Fanned_Tail,none
299,Yellow_body,Horns,none,Curved_Tail,none
300,Green_body,Backwards_hat,Cigar,Fanned_Tail,Braces
301,Green_body,Backwards_hat,Earring,Curved_Tail,Buck_Tooth
302,Blue_body,none,Balloon,Curved_Tail,none
303,Orange_body,none,Moustache,Heart_Tail,Buck_Tooth
304,Blue_body,Horns,Balloon,Flower_tail,none
305,Orange_body,Beanie,none,Heart_Tail,Buck_Tooth
306,Green_body,none,none,Propeller_Tail,Buck_Tooth
307,Yellow_body,Backwards_hat,Moustache,Pointy_Tail,Shark_Teeth
308,Rainbow_body,none,none,Flower_tail,Shark_Teeth
309,Blue_body,none,Moustache,Heart_Tail,Gold_grill
310,Orange_body,Backwards_hat,Moustache,Dragon_Tail,Human_Teeth
311,Robot_body,Backwards_hat,none,Fanned_Tail,none
312,Trippy_body,Fin,none,Pointy_Tail,none
313,Red_body,none,none,Flower_tail,Gold_grill
314,Yellow_body,Fin,none,Pointy_Tail,Shark_Teeth
315,Orange_body,Backwards_hat,Moustache,Jet_Tail,none
316,Scaled_ body,Beanie,none,Jet_Tail,Gold_grill
317,Green_body,Afro,none,Pointy_Tail,Human_Teeth
318,Blue_body,Beanie,Wings,Dragon_Tail,none
319,Green_body,none,none,Curved_Tail,Shark_Teeth
320,Green_body,none,none,Pointy_Tail,none
321,Green_body,none,Goggles,Pointy_Tail,Buck_Tooth
322,Red_body,Beanie,Little_fish,Flower_tail,none
323,Blue_body,Backwards_hat,Cigar,Propeller_Tail,Braces
324,Blue_body,Umbrella_hat,Cigar,Heart_Tail,none
325,Blue_body,Backwards_hat,none,Flower_tail,Buck_Tooth
326,Green_body,Beanie,Earring,Fanned_Tail,Braces
327,Red_body,none,Balloon,Heart_Tail,Buck_Tooth
328,Green_body,Backwards_hat,none,Dragon_Tail,none
329,Alien_body,none,Wings,Curved_Tail,Shark_Teeth
330,Orange_body,none,Wings,Dragon_Tail,Shark_Teeth
331,Blue_body,Spinner_hat,none,Curved_Tail,none
332,Green_body,Umbrella_hat,none,Curved_Tail,Buck_Tooth
333,Green_body,none,none,Curved_Tail,none
334,Orange_body,Backwards_hat,Goggles,Heart_Tail,Shark_Teeth
335,Blue_body,Beanie,Wings,Dragon_Tail,Gold_grill
336,Scaled_ body,Afro,none,Pointy_Tail,none
337,Orange_body,none,none,Dragon_Tail,Human_Teeth
338,Red_body,Backwards_hat,none,Fanned_Tail,Buck_Tooth
339,Blue_body,Afro,Balloon,Flower_tail,none
340,Blue_body,Fin,Goggles,Pointy_Tail,Shark_Teeth
341,Red_body,none,none,Fanned_Tail,none
342,Yellow_body,none,Moustache,Curved_Tail,none
343,Red_body,Afro,Wings,Pointy_Tail,Shark_Teeth
344,Red_body,Backwards_hat,Earring,Curved_Tail,Human_Teeth
345,Red_body,none,none,Dragon_Tail,Braces
346,Red_body,none,Earring,Fanned_Tail,Buck_Tooth
347,Scaled_ body,Backwards_hat,none,Pointy_Tail,Shark_Teeth
348,Red_body,none,Balloon,Propeller_Tail,Gold_grill
349,Blue_body,Afro,Cigar,Curved_Tail,Gold_grill
350,Gold_body,none,Earring,Curved_Tail,none
351,Rainbow_body,none,Moustache,Curved_Tail,Shark_Teeth
352,Orange_body,Beanie,Moustache,Flower_tail,Shark_Teeth
353,Black_body,Horns,Earring,Curved_Tail,Braces
354,Red_body,Spinner_hat,none,Curved_Tail,Gold_grill
355,Green_body,Spinner_hat,none,Fanned_Tail,Shark_Teeth
356,Green_body,Backwards_hat,Goggles,Curved_Tail,Human_Teeth
357,Orange_body,Top_hat,none,Fanned_Tail,Gold_grill
358,Orange_body,Afro,Balloon,Curved_Tail,Buck_Tooth
359,Orange_body,Spinner_hat,none,Heart_Tail,Braces
360,Orange_body,none,Wings,Curved_Tail,none
361,Green_body,Umbrella_hat,Cigar,Fanned_Tail,Buck_Tooth
362,Green_body,Afro,none,Flower_tail,none
363,Scaled_ body,Umbrella_hat,Earring,Pointy_Tail,none
364,Yellow_body,Umbrella_hat,Cigar,Curved_Tail,Buck_Tooth
365,Red_body,Backwards_hat,none,Pointy_Tail,Shark_Teeth
366,Blue_body,Umbrella_hat,Cigar,Heart_Tail,Braces
367,Green_body,Beanie,none,Pointy_Tail,Buck_Tooth
368,Green_body,none,Balloon,Fanned_Tail,Buck_Tooth
369,Yellow_body,Beanie,none,Curved_Tail,Shark_Teeth
370,Blue_body,Backwards_hat,Goggles,Curved_Tail,Buck_Tooth
371,Scaled_ body,Horns,none,Fanned_Tail,Buck_Tooth
372,Red_body,Horns,none,Dragon_Tail,none
373,Blue_body,Backwards_hat,none,Curved_Tail,Buck_Tooth
374,Scaled_ body,Horns,Moustache,Heart_Tail,Shark_Teeth
375,Green_body,Fin,Balloon,Propeller_Tail,none
376,Robot_body,Horns,Balloon,Flower_tail,Shark_Teeth
377,Yellow_body,Beanie,Moustache,Pointy_Tail,Human_Teeth
378,Green_body,Afro,Moustache,Heart_Tail,Buck_Tooth
379,Green_body,Backwards_hat,Cigar,Pointy_Tail,none
380,Black_body,Umbrella_hat,none,Heart_Tail,Braces
381,Red_body,Beanie,Earring,Curved_Tail,Buck_Tooth
382,Scaled_ body,none,Little_fish,Fanned_Tail,Buck_Tooth
383,Scaled_ body,Umbrella_hat,Earring,Pointy_Tail,Buck_Tooth
384,Scaled_ body,none,none,Curved_Tail,Buck_Tooth
385,Blue_body,none,Moustache,Heart_Tail,Human_Teeth
386,Red_body,none,Earring,Fanned_Tail,none
387,Red_body,Backwards_hat,Earring,Fanned_Tail,Buck_Tooth
388,Orange_body,Beanie,Balloon,Curved_Tail,none
389,Robot_body,none,Earring,Fanned_Tail,Human_Teeth
390,Green_body,none,Goggles,Curved_Tail,Shark_Teeth
391,Blue_body,Beanie,Balloon,Flower_tail,Human_Teeth
392,Green_body,Backwards_hat,Balloon,Fanned_Tail,none
393,Trippy_body,Horns,Balloon,Flower_tail,Braces
394,Orange_body,Backwards_hat,Earring,Heart_Tail,Shark_Teeth
395,Robot_body,Fin,Balloon,Curved_Tail,none
396,Green_body,Umbrella_hat,Goggles,Curved_Tail,none
397,Robot_body,none,Cigar,Heart_Tail,none
398,Scaled_ body,none,Earring,Pointy_Tail,Shark_Teeth
399,Blue_body,Afro,none,Fanned_Tail,Buck_Tooth
400,Red_body,Backwards_hat,none,Fanned_Tail,Human_Teeth
401,Red_body,Backwards_hat,Moustache,Propeller_Tail,none
402,Rainbow_body,Spinner_hat,none,Fanned_Tail,Buck_Tooth
403,Orange_body,Beanie,none,Fanned_Tail,Human_Teeth
404,Green_body,Spinner_hat,Earring,Curved_Tail,none
405,Blue_body,Backwards_hat,Goggles,Flower_tail,Braces
406,Green_body,Afro,none,Curved_Tail,Human_Teeth
407,Blue_body,none,Goggles,Pointy_Tail,none
408,Orange_body,none,Wings,Pointy_Tail,none
409,Blue_body,Horns,Moustache,Dragon_Tail,Braces
410,Rainbow_body,none,Earring,Pointy_Tail,Human_Teeth
411,Robot_body,Backwards_hat,Cigar,Flower_tail,Braces
412,Orange_body,none,Earring,Heart_Tail,Buck_Tooth
413,Red_body,Backwards_hat,none,Propeller_Tail,Shark_Teeth
414,Trippy_body,Backwards_hat,Wings,Curved_Tail,Buck_Tooth
415,Green_body,Beanie,Wings,Propeller_Tail,Shark_Teeth
416,Blue_body,Beanie,none,Curved_Tail,Buck_Tooth
417,Red_body,Spinner_hat,Wings,Curved_Tail,Human_Teeth
418,Scaled_ body,none,Earring,Pointy_Tail,none
419,Red_body,Horns,none,Flower_tail,none
420,Alien_body,Backwards_hat,Little_fish,Curved_Tail,Buck_Tooth
421,Orange_body,Beanie,Balloon,Fanned_Tail,Buck_Tooth
422,Green_body,Beanie,none,Pointy_Tail,Shark_Teeth
423,Blue_body,Spinner_hat,none,Flower_tail,Buck_Tooth
424,Yellow_body,none,none,Curved_Tail,none
425,Blue_body,Afro,none,Flower_tail,Shark_Teeth
426,Green_body,Horns,none,Curved_Tail,none
427,Trippy_body,Backwards_hat,Wings,Flower_tail,none
428,Blue_body,Horns,none,Fanned_Tail,Braces
429,Trippy_body,Afro,Goggles,Fanned_Tail,Human_Teeth
430,Trippy_body,Backwards_hat,Moustache,Flower_tail,Human_Teeth
431,Blue_body,none,none,Curved_Tail,none
432,Red_body,Afro,none,Pointy_Tail,Buck_Tooth
433,Blue_body,Beanie,Moustache,Fanned_Tail,Shark_Teeth
434,Red_body,Beanie,Cigar,Pointy_Tail,none
435,Blue_body,Backwards_hat,Goggles,Propeller_Tail,Buck_Tooth
436,Blue_body,Fin,none,Pointy_Tail,none
437,Red_body,Beanie,none,Pointy_Tail,Shark_Teeth
438,Scaled_ body,Afro,none,Curved_Tail,Braces
439,Red_body,Top_hat,none,Curved_Tail,Buck_Tooth
440,Blue_body,Afro,Cigar,Fanned_Tail,Buck_Tooth
441,Red_body,Fin,none,Curved_Tail,Buck_Tooth
442,Green_body,Fin,Wings,Fanned_Tail,Buck_Tooth
443,Red_body,none,none,Heart_Tail,Buck_Tooth
444,Red_body,none,none,Heart_Tail,Human_Teeth
445,Yellow_body,Afro,Earring,Flower_tail,Buck_Tooth
